time,Det_Voltage,TOFHGMAX,TOFHGMIN,TOFLGMAX,TOFLGMIN,TOFMGMAX,TOFMGMIN,Target_High_Gain_Max,Target_High_Gain_Min,Target_Low_Gain_Max,Target_Low_Gain_Min
2025-343T01:11:11.936,2001.4632,,,,,,,,,,
2025-343T01:12:11.936,2001.4632,,,,,,,,,,
2025-343T01:12:19.936,,571.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T01:13:11.936,2001.4632,,,,,,,,,,
2025-343T01:14:11.935,2001.4632,,,,,,,,,,
2025-343T01:14:19.935,,570.0,499.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T01:15:11.935,2001.4632,,,,,,,,,,
2025-343T01:16:11.935,2001.4632,,,,,,,,,,
2025-343T01:16:19.935,,542.0,498.0,518.0,508.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T01:17:11.934,2001.4632,,,,,,,,,,
2025-343T01:18:11.934,2001.4632,,,,,,,,,,
2025-343T01:18:19.934,,548.0,499.0,518.0,508.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T01:19:11.933,2001.4632,,,,,,,,,,
2025-343T01:20:11.933,2001.4632,,,,,,,,,,
2025-343T01:20:19.933,,571.0,499.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T01:21:11.933,2001.4632,,,,,,,,,,
2025-343T01:22:11.932,2001.4632,,,,,,,,,,
2025-343T01:22:19.932,,562.0,499.0,518.0,509.0,516.0,509.0,2049.0,2039.0,2067.0,2061.0
2025-343T01:23:11.932,2001.4632,,,,,,,,,,
2025-343T01:24:11.931,2001.4632,,,,,,,,,,
2025-343T01:24:19.932,,548.0,499.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T01:25:11.931,2001.4632,,,,,,,,,,
2025-343T01:26:11.931,2001.4632,,,,,,,,,,
2025-343T01:26:19.931,,604.0,498.0,518.0,508.0,516.0,509.0,2051.0,2036.0,2067.0,2061.0
2025-343T01:27:11.930,2001.4632,,,,,,,,,,
2025-343T01:28:11.930,2001.4632,,,,,,,,,,
2025-343T01:28:19.930,,548.0,499.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T01:29:11.930,2001.4632,,,,,,,,,,
2025-343T01:30:11.929,2001.4632,,,,,,,,,,
2025-343T01:30:19.929,,574.0,499.0,518.0,509.0,516.0,509.0,2048.0,2039.0,2067.0,2061.0
2025-343T01:31:11.929,2001.4632,,,,,,,,,,
2025-343T01:32:11.928,2001.4632,,,,,,,,,,
2025-343T01:32:19.928,,570.0,499.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2067.0,2061.0
2025-343T01:32:25.928,,530.0,500.0,518.0,509.0,516.0,509.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:32:31.928,,534.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:32:37.928,,553.0,499.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:32:38.928,2001.4632,,,,,,,,,,
2025-343T01:32:43.928,,539.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2066.0,2061.0
2025-343T01:32:49.928,,531.0,500.0,518.0,509.0,516.0,510.0,2048.0,2040.0,2067.0,2061.0
