Dust Event ID,UTC Timestamp,Local Timestamp,Integer Timestamp (ms),Velocity (m/s),Mass (kg),Charge (C),Radius (m) ,High Voltage (MV),Current Group ID,Current Experiment Name,Current Experiment Description,Estimate Quality,Dust Type
8543901,20231213194021.209999999,20231213124021.209999999,1702496421210,8.683110E+3,2.347606E-17,4.030390E-16,8.928539E-8,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543909,20231213194034.854999999,20231213124034.854999999,1702496434855,3.077580E+3,2.197213E-16,4.733430E-16,1.881609E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543920,20231213194059.851000000,20231213124059.851000000,1702496459851,8.445060E+3,8.338848E-18,1.354200E-16,6.323255E-8,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
8543922,20231213194107.424000000,20231213124107.424000000,1702496467424,3.886840E+3,1.168286E-16,4.012220E-16,1.524363E-7,2.199524E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543929,20231213194137.668000000,20231213124137.668000000,1702496497668,3.689870E+3,1.228433E-16,3.808420E-16,1.550086E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543932,20231213194153.043000000,20231213124153.043000000,1702496513043,4.167190E+3,9.162968E-17,3.619160E-16,1.405780E-7,2.198294E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543934,20231213194157.222000000,20231213124157.222000000,1702496517222,5.921310E+3,3.516520E-17,2.805930E-16,1.021589E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",4," Iron "
8543936,20231213194200.138999999,20231213124200.138999999,1702496520139,2.887270E+3,2.321193E-16,4.406130E-16,1.916354E-7,2.195833E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543939,20231213194202.148000000,20231213124202.148000000,1702496522148,4.671250E+3,1.062479E-16,5.276120E-16,1.476881E-7,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
8543942,20231213194211.910000000,20231213124211.910000000,1702496531910,1.173510E+4,1.335636E-17,4.185910E-16,7.398348E-8,2.197063E+0," IDEX "," 2023_12_13_run0 "," 2-90 km/s. Fe/pt olivine mix. IDEX FM. Det2400. Position 2. ",5," Iron "
