,Time [us],Combined TOF [pC/dt]
4291,0.9000000000000004,0.01901799999999998
4292,0.9038461538461551,0.019531999999999994
4293,0.9076923076923098,0.017990000000000006
4294,0.911538461538461,0.01901799999999998
4295,0.9153846153846157,0.016447999999999963
4296,0.9192307692307704,0.016961999999999977
4297,0.9230769230769251,0.014905999999999975
4298,0.9269230769230763,0.01747599999999999
4299,0.930769230769231,0.01439199999999996
4300,0.9346153846153857,0.015934000000000004
4301,0.9384615384615405,0.01439199999999996
4302,0.9423076923076916,0.016447999999999963
4303,0.9461538461538463,0.012849999999999973
4304,0.9500000000000011,0.01439199999999996
4305,0.9538461538461558,0.01439199999999996
4306,0.957692307692307,0.013878000000000001
4307,0.9615384615384617,0.01439199999999996
4308,0.9653846153846164,0.012849999999999973
4309,0.9692307692307711,0.012849999999999973
4310,0.9730769230769223,0.011307999999999985
4311,0.976923076923077,0.012849999999999973
4312,0.9807692307692317,0.010280000000000011
4313,0.9846153846153864,0.011822
4314,0.9884615384615376,0.009765999999999997
4315,0.9923076923076923,0.011822
4316,0.9961538461538471,0.009251999999999982
4317,1.0000000000000018,0.009765999999999997
4318,1.003846153846153,0.009765999999999997
4319,1.0076923076923077,0.008737999999999968
4320,1.0115384615384624,0.009251999999999982
4321,1.015384615384617,0.00719599999999998
4322,1.0192307692307683,0.00719599999999998
4323,1.023076923076923,0.006681999999999966
4324,1.0269230769230777,0.008737999999999968
4325,1.0307692307692324,0.006168000000000007
4326,1.0346153846153836,0.008224000000000009
4327,1.0384615384615383,0.005653999999999992
4328,1.042307692307693,0.008224000000000009
4329,1.0461538461538478,0.005139999999999978
4330,1.049999999999999,0.00719599999999998
4331,1.0538461538461537,0.006168000000000007
4332,1.0576923076923084,0.006168000000000007
4333,1.061538461538463,0.006681999999999966
4334,1.0653846153846143,0.0046259999999999635
4335,1.069230769230769,0.0046259999999999635
4336,1.0730769230769237,0.0041120000000000045
4337,1.0769230769230784,0.006681999999999966
4338,1.0807692307692296,0.00359799999999999
4339,1.0846153846153843,0.005139999999999978
4340,1.088461538461539,0.00359799999999999
4341,1.0923076923076938,0.006168000000000007
4342,1.096153846153845,0.00359799999999999
4343,1.0999999999999996,0.0046259999999999635
4344,1.1038461538461544,0.0046259999999999635
4345,1.107692307692309,0.0041120000000000045
4346,1.1115384615384603,0.0046259999999999635
4347,1.115384615384615,0.0030839999999999756
4348,1.1192307692307697,0.0030839999999999756
4349,1.1230769230769244,0.0020560000000000023
4350,1.1269230769230756,0.005139999999999978
4351,1.1307692307692303,0.0020560000000000023
4352,1.134615384615385,0.0046259999999999635
4353,1.1384615384615397,0.002569999999999961
4354,1.1423076923076945,0.0046259999999999635
4355,1.1461538461538456,0.0020560000000000023
4356,1.1500000000000004,0.0030839999999999756
4357,1.153846153846155,0.0030839999999999756
4358,1.1576923076923098,0.00359799999999999
