,Time,TOF H,TOF M,TOF L
1430,-10.103846153846154,0.031375374732334045,0.016918699,0.263682
1431,-10.100000000000001,0.03162291220556745,0.016984917,0.262654
1432,-10.096153846153847,0.031808565310492504,0.016984917,0.265224
1433,-10.092307692307692,0.0315610278372591,0.016918699,0.262654
1434,-10.088461538461539,0.0315610278372591,0.016951808,0.26471
1435,-10.084615384615386,0.031746680942184156,0.016984917,0.262654
1436,-10.080769230769231,0.031746680942184156,0.016951808,0.26471
1437,-10.076923076923077,0.0315610278372591,0.016918699,0.262654
1438,-10.073076923076924,0.0315610278372591,0.016984917,0.26471
1439,-10.06923076923077,0.031746680942184156,0.017018026,0.262654
1440,-10.065384615384616,0.0316847965738758,0.016951808,0.264196
1441,-10.061538461538461,0.03131349036402569,0.016918699,0.264196
1442,-10.057692307692307,0.03162291220556745,0.016984917,0.265224
1443,-10.053846153846154,0.03187044967880086,0.016951808,0.263682
1444,-10.05,0.031746680942184156,0.016918699,0.263168
1445,-10.046153846153846,0.03149914346895075,0.016951808,0.264196
1446,-10.042307692307691,0.03149914346895075,0.016984917,0.263168
1447,-10.038461538461538,0.031746680942184156,0.016951808,0.265224
1448,-10.034615384615385,0.031746680942184156,0.016951808,0.262654
1449,-10.03076923076923,0.0315610278372591,0.017018026,0.264196
1450,-10.026923076923076,0.031746680942184156,0.016984917,0.262654
1451,-10.023076923076923,0.03187044967880086,0.016918699,0.264196
1452,-10.01923076923077,0.0316847965738758,0.016951808,0.263168
1453,-10.015384615384615,0.03131349036402569,0.016984917,0.264196
1454,-10.01153846153846,0.031375374732334045,0.016984917,0.263682
1455,-10.007692307692308,0.031808565310492504,0.016951808,0.26471
1456,-10.003846153846155,0.03149914346895075,0.016984917,0.263168
1457,-10.0,0.031375374732334045,0.016984917,0.263168
1458,-9.996153846153845,0.0314372591006424,0.016951808,0.26471
1459,-9.992307692307692,0.03187044967880086,0.016951808,0.262654
1460,-9.98846153846154,0.031808565310492504,0.016984917,0.265224
1461,-9.984615384615385,0.0314372591006424,0.016984917,0.26214000000000004
1462,-9.98076923076923,0.031808565310492504,0.016951808,0.264196
1463,-9.976923076923077,0.031808565310492504,0.016951808,0.262654
1464,-9.973076923076924,0.0316847965738758,0.017018026,0.26471
1465,-9.96923076923077,0.0316847965738758,0.017018026,0.263168
1466,-9.965384615384615,0.0315610278372591,0.016951808,0.264196
1467,-9.961538461538462,0.031746680942184156,0.016918699,0.264196
1468,-9.957692307692309,0.0315610278372591,0.017018026,0.26471
1469,-9.953846153846154,0.03149914346895075,0.016984917,0.263682
1470,-9.95,0.0316847965738758,0.016918699,0.263168
1471,-9.946153846153846,0.03187044967880086,0.016918699,0.26471
1472,-9.942307692307693,0.0316847965738758,0.017018026,0.263168
1473,-9.938461538461539,0.0315610278372591,0.016984917,0.26471
1474,-9.934615384615384,0.03149914346895075,0.016918699,0.262654
1475,-9.930769230769231,0.0316847965738758,0.017018026,0.264196
1476,-9.926923076923078,0.0315610278372591,0.017018026,0.262654
1477,-9.923076923076923,0.0314372591006424,0.016951808,0.264196
1478,-9.919230769230769,0.0316847965738758,0.016951808,0.263168
1479,-9.915384615384616,0.0316847965738758,0.016984917,0.264196
1480,-9.911538461538463,0.0315610278372591,0.017018026,0.262654
1481,-9.907692307692308,0.03149914346895075,0.016918699,0.26471
1482,-9.903846153846153,0.03187044967880086,0.016984917,0.262654
1483,-9.9,0.031932334047109205,0.016984917,0.263168
1484,-9.896153846153847,0.0316847965738758,0.016984917,0.26471
1485,-9.892307692307693,0.03149914346895075,0.016918699,0.263168
1486,-9.888461538461538,0.031746680942184156,0.016951808,0.26471
