eventnum,SCI0Time32_seconds,utc_datetime
imap_idex_l0_raw_20251209_v002/72,502774051,2025-12-07T03:27:31.390626Z
imap_idex_l0_raw_20251209_v002/73,502779365,2025-12-07T04:56:05.995553Z
imap_idex_l0_raw_20251209_v002/74,502779742,2025-12-07T05:02:22.340428Z
imap_idex_l0_raw_20251209_v002/75,502780215,2025-12-07T05:10:15.511595Z
imap_idex_l0_raw_20251209_v002/76,502781186,2025-12-07T05:26:26.639508Z
imap_idex_l0_raw_20251209_v002/77,502783844,2025-12-07T06:10:44.384888Z
imap_idex_l0_raw_20251209_v002/78,502785394,2025-12-07T06:36:34.436070Z
imap_idex_l0_raw_20251209_v002/79,502785833,2025-12-07T06:43:53.140350Z
imap_idex_l0_raw_20251209_v002/8,502934585,2025-12-09T00:03:05.166913Z
imap_idex_l0_raw_20251209_v002/80,502786792,2025-12-07T06:59:52.815223Z
imap_idex_l0_raw_20251209_v002/81,502789226,2025-12-07T07:40:26.203993Z
imap_idex_l0_raw_20251209_v002/82,502789809,2025-12-07T07:50:09.915073Z
imap_idex_l0_raw_20251209_v002/83,502790404,2025-12-07T08:00:04.333757Z
imap_idex_l0_raw_20251209_v002/84,502790772,2025-12-07T08:06:12.422939Z
imap_idex_l0_raw_20251209_v002/85,502791426,2025-12-07T08:17:06.401232Z
imap_idex_l0_raw_20251209_v002/86,502795722,2025-12-07T09:28:42.802258Z
imap_idex_l0_raw_20251209_v002/87,502799951,2025-12-07T10:39:11.348124Z
imap_idex_l0_raw_20251209_v002/88,502800848,2025-12-07T10:54:08.535794Z
imap_idex_l0_raw_20251209_v002/89,502801459,2025-12-07T11:04:19.240836Z
imap_idex_l0_raw_20251209_v002/9,502934597,2025-12-09T00:03:17.997134Z
imap_idex_l0_raw_20251209_v002/90,502803451,2025-12-07T11:37:31.321506Z
imap_idex_l0_raw_20251209_v002/91,502804337,2025-12-07T11:52:17.346807Z
imap_idex_l0_raw_20251209_v002/92,502805930,2025-12-07T12:18:50.356995Z
imap_idex_l0_raw_20251209_v002/93,502808076,2025-12-07T12:54:36.705538Z
imap_idex_l0_raw_20251209_v002/94,502811718,2025-12-07T13:55:18.902164Z
imap_idex_l0_raw_20251209_v002/95,502812489,2025-12-07T14:08:09.321295Z
imap_idex_l0_raw_20251209_v002/96,502815011,2025-12-07T14:50:11.405606Z
imap_idex_l0_raw_20251209_v002/97,502815688,2025-12-07T15:01:28.391287Z
imap_idex_l0_raw_20251209_v002/98,502815883,2025-12-07T15:04:43.277239Z
imap_idex_l0_raw_20251209_v002/99,502817948,2025-12-07T15:39:08.546888Z
imap_idex_l0_raw_20251217_v001/1,503625721,2025-12-17T00:02:01.289112Z
imap_idex_l0_raw_20251217_v001/10,503625809,2025-12-17T00:03:29.723445Z
imap_idex_l0_raw_20251217_v001/100,503124251,2025-12-11T04:44:11.212772Z
imap_idex_l0_raw_20251217_v001/101,503128439,2025-12-11T05:53:59.414575Z
imap_idex_l0_raw_20251217_v001/102,503128823,2025-12-11T06:00:23.929589Z
imap_idex_l0_raw_20251217_v001/103,503130305,2025-12-11T06:25:05.648466Z
imap_idex_l0_raw_20251217_v001/104,503133167,2025-12-11T07:12:47.916348Z
imap_idex_l0_raw_20251217_v001/105,503135665,2025-12-11T07:54:25.773766Z
imap_idex_l0_raw_20251217_v001/106,503139165,2025-12-11T08:52:45.465695Z
imap_idex_l0_raw_20251217_v001/107,503139763,2025-12-11T09:02:43.881835Z
imap_idex_l0_raw_20251217_v001/108,503145233,2025-12-11T10:33:53.659286Z
imap_idex_l0_raw_20251217_v001/109,503148640,2025-12-11T11:30:40.526992Z
imap_idex_l0_raw_20251217_v001/11,502974164,2025-12-09T11:02:44.239194Z
imap_idex_l0_raw_20251217_v001/110,503152675,2025-12-11T12:37:55.683417Z
imap_idex_l0_raw_20251217_v001/111,503153169,2025-12-11T12:46:09.348191Z
imap_idex_l0_raw_20251217_v001/112,503154283,2025-12-11T13:04:43.312792Z
imap_idex_l0_raw_20251217_v001/113,503154804,2025-12-11T13:13:24.916495Z
