eventnum,SCI0Time32
imap_idex_l0_raw_20251209_v002.h5/60,502715273
imap_idex_l0_raw_20251209_v002.h5/61,502719069
imap_idex_l0_raw_20251209_v002.h5/62,502723672
imap_idex_l0_raw_20251209_v002.h5/63,502725721
imap_idex_l0_raw_20251209_v002.h5/64,502736255
imap_idex_l0_raw_20251209_v002.h5/65,502762339
imap_idex_l0_raw_20251209_v002.h5/66,502762668
imap_idex_l0_raw_20251209_v002.h5/67,502763204
imap_idex_l0_raw_20251209_v002.h5/68,502767315
imap_idex_l0_raw_20251209_v002.h5/69,502770928
imap_idex_l0_raw_20251209_v002.h5/7,502934573
imap_idex_l0_raw_20251209_v002.h5/70,502772277
imap_idex_l0_raw_20251209_v002.h5/71,502773632
imap_idex_l0_raw_20251209_v002.h5/72,502774051
imap_idex_l0_raw_20251209_v002.h5/73,502779365
imap_idex_l0_raw_20251209_v002.h5/74,502779742
imap_idex_l0_raw_20251209_v002.h5/75,502780215
imap_idex_l0_raw_20251209_v002.h5/76,502781186
imap_idex_l0_raw_20251209_v002.h5/77,502783844
imap_idex_l0_raw_20251209_v002.h5/78,502785394
imap_idex_l0_raw_20251209_v002.h5/79,502785833
imap_idex_l0_raw_20251209_v002.h5/8,502934585
imap_idex_l0_raw_20251209_v002.h5/80,502786792
imap_idex_l0_raw_20251209_v002.h5/81,502789226
imap_idex_l0_raw_20251209_v002.h5/82,502789809
imap_idex_l0_raw_20251209_v002.h5/83,502790404
imap_idex_l0_raw_20251209_v002.h5/84,502790772
imap_idex_l0_raw_20251209_v002.h5/85,502791426
imap_idex_l0_raw_20251209_v002.h5/86,502795722
imap_idex_l0_raw_20251209_v002.h5/87,502799951
imap_idex_l0_raw_20251209_v002.h5/88,502800848
imap_idex_l0_raw_20251209_v002.h5/89,502801459
imap_idex_l0_raw_20251209_v002.h5/9,502934597
imap_idex_l0_raw_20251209_v002.h5/90,502803451
imap_idex_l0_raw_20251209_v002.h5/91,502804337
imap_idex_l0_raw_20251209_v002.h5/92,502805930
imap_idex_l0_raw_20251209_v002.h5/93,502808076
imap_idex_l0_raw_20251209_v002.h5/94,502811718
imap_idex_l0_raw_20251209_v002.h5/95,502812489
imap_idex_l0_raw_20251209_v002.h5/96,502815011
imap_idex_l0_raw_20251209_v002.h5/97,502815688
imap_idex_l0_raw_20251209_v002.h5/98,502815883
imap_idex_l0_raw_20251209_v002.h5/99,502817948
imap_idex_l0_raw_20251217_v001.h5/1,503625721
imap_idex_l0_raw_20251217_v001.h5/10,503625809
imap_idex_l0_raw_20251217_v001.h5/100,503124251
imap_idex_l0_raw_20251217_v001.h5/101,503128439
imap_idex_l0_raw_20251217_v001.h5/102,503128823
imap_idex_l0_raw_20251217_v001.h5/103,503130305
imap_idex_l0_raw_20251217_v001.h5/104,503133167
imap_idex_l0_raw_20251217_v001.h5/105,503135665
imap_idex_l0_raw_20251217_v001.h5/106,503139165
imap_idex_l0_raw_20251217_v001.h5/107,503139763
imap_idex_l0_raw_20251217_v001.h5/108,503145233
imap_idex_l0_raw_20251217_v001.h5/109,503148640
imap_idex_l0_raw_20251217_v001.h5/11,502974164
imap_idex_l0_raw_20251217_v001.h5/110,503152675
imap_idex_l0_raw_20251217_v001.h5/111,503153169
imap_idex_l0_raw_20251217_v001.h5/112,503154283
imap_idex_l0_raw_20251217_v001.h5/113,503154804
imap_idex_l0_raw_20251217_v001.h5/114,503156655
imap_idex_l0_raw_20251217_v001.h5/115,503156774
imap_idex_l0_raw_20251217_v001.h5/116,503157469
imap_idex_l0_raw_20251217_v001.h5/117,503167223
imap_idex_l0_raw_20251217_v001.h5/118,503173647
imap_idex_l0_raw_20251217_v001.h5/119,503174462
imap_idex_l0_raw_20251217_v001.h5/12,502976072
imap_idex_l0_raw_20251217_v001.h5/120,503178047
imap_idex_l0_raw_20251217_v001.h5/121,503179610
imap_idex_l0_raw_20251217_v001.h5/122,503181397
imap_idex_l0_raw_20251217_v001.h5/123,503182915
imap_idex_l0_raw_20251217_v001.h5/124,503183231
imap_idex_l0_raw_20251217_v001.h5/125,503184254
imap_idex_l0_raw_20251217_v001.h5/126,503191758
imap_idex_l0_raw_20251217_v001.h5/127,503195267
imap_idex_l0_raw_20251217_v001.h5/128,503197767
imap_idex_l0_raw_20251217_v001.h5/129,503198955
imap_idex_l0_raw_20251217_v001.h5/13,502977366
imap_idex_l0_raw_20251217_v001.h5/130,503202192
imap_idex_l0_raw_20251217_v001.h5/131,503202772
imap_idex_l0_raw_20251217_v001.h5/132,503204804
imap_idex_l0_raw_20251217_v001.h5/133,503204941
imap_idex_l0_raw_20251217_v001.h5/134,503206945
imap_idex_l0_raw_20251217_v001.h5/135,503224838
imap_idex_l0_raw_20251217_v001.h5/136,503225992
imap_idex_l0_raw_20251217_v001.h5/137,503226891
imap_idex_l0_raw_20251217_v001.h5/138,503229448
imap_idex_l0_raw_20251217_v001.h5/139,503233373
imap_idex_l0_raw_20251217_v001.h5/14,502980599
imap_idex_l0_raw_20251217_v001.h5/140,503240513
imap_idex_l0_raw_20251217_v001.h5/141,503243197
imap_idex_l0_raw_20251217_v001.h5/142,503246689
imap_idex_l0_raw_20251217_v001.h5/143,503247440
imap_idex_l0_raw_20251217_v001.h5/144,503247897
imap_idex_l0_raw_20251217_v001.h5/145,503250370
imap_idex_l0_raw_20251217_v001.h5/146,503253524
imap_idex_l0_raw_20251217_v001.h5/147,503256393
imap_idex_l0_raw_20251217_v001.h5/148,503261779
imap_idex_l0_raw_20251217_v001.h5/149,503263149
imap_idex_l0_raw_20251217_v001.h5/15,502982389
imap_idex_l0_raw_20251217_v001.h5/150,503267657
imap_idex_l0_raw_20251217_v001.h5/151,503277434
imap_idex_l0_raw_20251217_v001.h5/152,503281598
imap_idex_l0_raw_20251217_v001.h5/153,503292441
imap_idex_l0_raw_20251217_v001.h5/154,503293514
imap_idex_l0_raw_20251217_v001.h5/155,503315448
imap_idex_l0_raw_20251217_v001.h5/156,503316283
imap_idex_l0_raw_20251217_v001.h5/157,503316352
imap_idex_l0_raw_20251217_v001.h5/158,503322662
imap_idex_l0_raw_20251217_v001.h5/159,503323039
imap_idex_l0_raw_20251217_v001.h5/16,502983487
imap_idex_l0_raw_20251217_v001.h5/160,503324612
imap_idex_l0_raw_20251217_v001.h5/161,503329813
imap_idex_l0_raw_20251217_v001.h5/162,503333972
imap_idex_l0_raw_20251217_v001.h5/163,503335720
imap_idex_l0_raw_20251217_v001.h5/164,503342475
imap_idex_l0_raw_20251217_v001.h5/165,503343460
imap_idex_l0_raw_20251217_v001.h5/166,503344388
imap_idex_l0_raw_20251217_v001.h5/167,503354490
imap_idex_l0_raw_20251217_v001.h5/168,503356163
imap_idex_l0_raw_20251217_v001.h5/169,503361081
imap_idex_l0_raw_20251217_v001.h5/17,502990130
imap_idex_l0_raw_20251217_v001.h5/170,503363013
imap_idex_l0_raw_20251217_v001.h5/171,503368627
imap_idex_l0_raw_20251217_v001.h5/172,503369425
imap_idex_l0_raw_20251217_v001.h5/173,503369554
imap_idex_l0_raw_20251217_v001.h5/174,503399234
imap_idex_l0_raw_20251217_v001.h5/175,503400106
imap_idex_l0_raw_20251217_v001.h5/176,503402028
imap_idex_l0_raw_20251217_v001.h5/177,503407644
imap_idex_l0_raw_20251217_v001.h5/178,503417414
imap_idex_l0_raw_20251217_v001.h5/179,503419374
imap_idex_l0_raw_20251217_v001.h5/18,502991371
imap_idex_l0_raw_20251217_v001.h5/180,503422677
imap_idex_l0_raw_20251217_v001.h5/181,503422860
imap_idex_l0_raw_20251217_v001.h5/182,503436610
imap_idex_l0_raw_20251217_v001.h5/183,503444735
imap_idex_l0_raw_20251217_v001.h5/184,503465011
imap_idex_l0_raw_20251217_v001.h5/185,503465314
imap_idex_l0_raw_20251217_v001.h5/186,503477218
imap_idex_l0_raw_20251217_v001.h5/187,503482092
imap_idex_l0_raw_20251217_v001.h5/188,503482229
imap_idex_l0_raw_20251217_v001.h5/189,503495117
imap_idex_l0_raw_20251217_v001.h5/19,502991683
imap_idex_l0_raw_20251217_v001.h5/190,503495807
imap_idex_l0_raw_20251217_v001.h5/191,503499644
imap_idex_l0_raw_20251217_v001.h5/192,503500988
imap_idex_l0_raw_20251217_v001.h5/193,503520502
imap_idex_l0_raw_20251217_v001.h5/194,503523061
imap_idex_l0_raw_20251217_v001.h5/195,503524618
imap_idex_l0_raw_20251217_v001.h5/196,503533079
imap_idex_l0_raw_20251217_v001.h5/197,503536551
imap_idex_l0_raw_20251217_v001.h5/198,503543078
imap_idex_l0_raw_20251217_v001.h5/199,503543220
imap_idex_l0_raw_20251217_v001.h5/2,503625727
imap_idex_l0_raw_20251217_v001.h5/20,502991800
imap_idex_l0_raw_20251217_v001.h5/200,503558625
imap_idex_l0_raw_20251217_v001.h5/201,503564611
imap_idex_l0_raw_20251217_v001.h5/202,503569842
imap_idex_l0_raw_20251217_v001.h5/203,503573578
imap_idex_l0_raw_20251217_v001.h5/204,503576317
imap_idex_l0_raw_20251217_v001.h5/205,503583314
imap_idex_l0_raw_20251217_v001.h5/206,503588386
imap_idex_l0_raw_20251217_v001.h5/207,503591981
imap_idex_l0_raw_20251217_v001.h5/208,503595251
imap_idex_l0_raw_20251217_v001.h5/209,503595605
imap_idex_l0_raw_20251217_v001.h5/21,502992063
imap_idex_l0_raw_20251217_v001.h5/210,503595812
imap_idex_l0_raw_20251217_v001.h5/211,503614316
imap_idex_l0_raw_20251217_v001.h5/212,503619619
imap_idex_l0_raw_20251217_v001.h5/22,502994095
imap_idex_l0_raw_20251217_v001.h5/23,502994878
imap_idex_l0_raw_20251217_v001.h5/24,502996228
imap_idex_l0_raw_20251217_v001.h5/25,502996826
imap_idex_l0_raw_20251217_v001.h5/26,502997903
imap_idex_l0_raw_20251217_v001.h5/27,503003965
imap_idex_l0_raw_20251217_v001.h5/28,503005403
imap_idex_l0_raw_20251217_v001.h5/29,503007141
imap_idex_l0_raw_20251217_v001.h5/3,503625735
imap_idex_l0_raw_20251217_v001.h5/30,503007396
imap_idex_l0_raw_20251217_v001.h5/31,503008194
imap_idex_l0_raw_20251217_v001.h5/32,503008799
imap_idex_l0_raw_20251217_v001.h5/33,503009801
imap_idex_l0_raw_20251217_v001.h5/34,503011543
imap_idex_l0_raw_20251217_v001.h5/35,503012203
imap_idex_l0_raw_20251217_v001.h5/36,503013782
imap_idex_l0_raw_20251217_v001.h5/37,503015971
