Dust Event ID,UTC Timestamp,Local Timestamp,Integer Timestamp (ms),Velocity (m/s),Mass (kg),Charge (C),Radius (m) ,High Voltage (MV),Current Group ID,Current Experiment Name,Current Experiment Description,Estimate Quality,Dust Type
8349420,20230725161112.717999999,20230725101112.717999999,1690301472718,3.114900E+4,1.679924E-18,3.709420E-16,3.706823E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349422,20230725161225.012000000,20230725101225.012000000,1690301545012,2.105180E+4,1.567177E-18,1.580610E-16,3.621969E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",3," Iron "
8349424,20230725161806.160999999,20230725101806.160999999,1690301886161,1.855620E+4,4.589772E-18,3.592620E-16,5.182059E-8,2.199524E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349425,20230725161806.595999999,20230725101806.595999999,1690301886596,1.889450E+4,4.926908E-18,3.998410E-16,5.305954E-8,2.199524E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349426,20230725161942.646999999,20230725101942.646999999,1690301982647,1.919720E+4,2.243263E-18,1.880360E-16,4.081929E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349427,20230725161955.949000000,20230725101955.949000000,1690301995949,1.820570E+4,2.319467E-18,1.748590E-16,4.127636E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",3," Iron "
8349429,20230725162214.527000000,20230725102214.527000000,1690302134527,1.783150E+4,2.412298E-18,1.745560E-16,4.181983E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349430,20230725162241.487999999,20230725102241.487999999,1690302161488,2.127040E+4,6.028484E-18,6.203610E-16,5.675115E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349432,20230725162427.896999999,20230725102427.896999999,1690302267897,3.582750E+4,1.374955E-18,4.014270E-16,3.467381E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",3," Iron "
8349433,20230725162447.543999999,20230725102447.543999999,1690302287544,1.850170E+4,1.007539E-17,7.848980E-16,6.734820E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349434,20230725162642.263000000,20230725102642.263000000,1690302402263,2.916960E+4,1.659023E-18,3.210690E-16,3.691386E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349444,20230725163622.123999999,20230725103622.123999999,1690302982124,2.530890E+4,1.165024E-18,1.698280E-16,3.281081E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349445,20230725163627.541999999,20230725103627.541999999,1690302987542,1.781910E+4,4.321388E-18,3.120900E-16,5.079018E-8,2.198294E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
8349446,20230725163633.597000000,20230725103633.597000000,1690302993597,2.120290E+4,1.744383E-18,1.785680E-16,3.753640E-8,2.195833E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",4," Iron "
8349447,20230725163710.288999999,20230725103710.288999999,1690303030289,2.455780E+4,2.199407E-18,3.018650E-16,4.055153E-8,2.197063E+0," IDEX "," 2023_07_25_Iron_run0 "," 18-80km/s. Fe on IDEX FM. Position 2. Detector Voltage 1900 V. ",5," Iron "
